bRegion,bSeed,bTeam,bResult,rResult,rTeam,rSeed,rRegion
KR,2,SKT,1,0,C9,3,NA
CN,1,EDG,0,1,AHQ,2,LMS
LMS,2,AHQ,0,1,C9,3,NA
CN,1,EDG,0,1,SKT,2,KR
KR,2,SKT,1,0,AHQ,2,LMS
NA,3,C9,1,0,EDG,1,CN
LMS,2,AHQ,1,0,SKT,2,KR
CN,1,EDG,1,0,C9,3,NA
LMS,2,AHQ,0,1,EDG,1,CN
NA,3,C9,0,1,SKT,2,KR
NA,3,C9,1,0,AHQ,2,LMS
KR,2,SKT,1,0,EDG,1,CN
KR,1,LZ,1,0,IMT,2,NA
EU,3,FNC,0,1,GAM,1,SEA
NA,2,IMT,1,0,FNC,3,EU
KR,1,LZ,1,0,GAM,1,SEA
SEA,1,GAM,0,1,IMT,2,NA
EU,3,FNC,0,1,LZ,1,KR
NA,2,IMT,0,1,GAM,1,SEA
KR,1,LZ,1,0,FNC,3,EU
EU,3,FNC,1,0,IMT,2,NA
SEA,1,GAM,0,1,LZ,1,KR
SEA,1,GAM,0,1,FNC,3,EU
NA,2,IMT,0,1,LZ,1,KR
EU,3,FNC,1,0,IMT,2,NA
SEA,1,GAM,0,1,FNC,3,EU
CN,2,RNG,1,0,FB,1,TR
EU,1,G2,0,1,SSG,3,KR
EU,1,G2,1,0,FB,1,TR
KR,3,SSG,0,1,RNG,2,CN
TR,1,FB,0,1,SSG,3,KR
CN,2,RNG,1,0,G2,1,EU
EU,1,G2,1,0,RNG,2,CN
KR,3,SSG,1,0,FB,1,TR
KR,3,SSG,1,0,G2,1,EU
TR,1,FB,0,1,RNG,2,CN
TR,1,FB,0,1,G2,1,EU
CN,2,RNG,1,0,SSG,3,KR
LMS,1,FW,0,1,TSM,1,NA
CN,3,WE,1,0,MSF,2,EU
NA,1,TSM,1,0,WE,3,CN
LMS,1,FW,0,1,MSF,2,EU
CN,3,WE,1,0,FW,1,LMS
EU,2,MSF,1,0,TSM,1,NA
EU,2,MSF,1,0,FW,1,LMS
CN,3,WE,1,0,TSM,1,NA
LMS,1,FW,0,1,WE,3,CN
NA,1,TSM,1,0,MSF,2,EU
NA,1,TSM,0,1,FW,1,LMS
EU,2,MSF,0,1,WE,3,CN
EU,2,MSF,1,0,TSM,1,NA
KR,1,LZ,0,1,SSG,3,KR
KR,1,LZ,0,1,SSG,3,KR
KR,3,SSG,1,0,LZ,1,KR
KR,2,SKT,1,0,MSF,2,EU
EU,2,MSF,1,0,SKT,2,KR
KR,2,SKT,0,1,MSF,2,EU
EU,2,MSF,0,1,SKT,2,KR
KR,2,SKT,1,0,MSF,2,EU
EU,3,FNC,0,1,RNG,2,CN
EU,3,FNC,0,1,RNG,2,CN
EU,3,FNC,1,0,RNG,2,CN
EU,3,FNC,0,1,RNG,2,CN
CN,3,WE,1,0,C9,3,NA
NA,3,C9,1,0,WE,3,CN
CN,3,WE,0,1,C9,3,NA
NA,3,C9,0,1,WE,3,CN
CN,3,WE,1,0,C9,3,NA
CN,2,RNG,1,0,SKT,2,KR
KR,2,SKT,1,0,RNG,2,CN
CN,2,RNG,1,0,SKT,2,KR
KR,2,SKT,1,0,RNG,2,CN
CN,2,RNG,0,1,SKT,2,KR
CN,3,WE,1,0,SSG,3,KR
KR,3,SSG,1,0,WE,3,CN
CN,3,WE,0,1,SSG,3,KR
KR,3,SSG,1,0,WE,3,CN
KR,3,SSG,1,0,SKT,2,KR
KR,3,SSG,1,0,SKT,2,KR
KR,3,SSG,1,0,SKT,2,KR
